0.000000000000000e+000	1.200000e+001
1.000000000000000e-004	1.199500e+001
2.000000000000000e-004	1.198999e+001
3.000000000000000e-004	1.198499e+001
4.000000000000000e-004	1.197999e+001
5.000000000000000e-004	1.197499e+001
6.000000000000001e-004	1.196998e+001
7.000000000000001e-004	1.196498e+001
8.000000000000002e-004	1.195998e+001
9.000000000000002e-004	1.195498e+001
1.000000000000000e-003	1.194998e+001
1.100000000000000e-003	1.194497e+001
1.200000000000000e-003	1.193997e+001
1.300000000000000e-003	1.193497e+001
1.400000000000000e-003	1.192997e+001
1.500000000000001e-003	1.192496e+001
1.600000000000001e-003	1.191996e+001
1.700000000000001e-003	1.191496e+001
1.800000000000001e-003	1.190996e+001
1.900000000000001e-003	1.190496e+001
2.000000000000001e-003	1.189996e+001
2.100000000000000e-003	1.189495e+001
2.200000000000000e-003	1.188995e+001
2.300000000000000e-003	1.188495e+001
2.400000000000000e-003	1.187995e+001
2.500000000000000e-003	1.187495e+001
2.599999999999999e-003	1.186995e+001
2.699999999999999e-003	1.186495e+001
2.799999999999999e-003	1.185994e+001
2.899999999999999e-003	1.185494e+001
2.999999999999999e-003	1.184994e+001
3.099999999999999e-003	1.184494e+001
3.199999999999998e-003	1.183994e+001
3.299999999999998e-003	1.183494e+001
3.399999999999998e-003	1.182994e+001
3.499999999999998e-003	1.182493e+001
3.599999999999998e-003	1.181993e+001
3.699999999999998e-003	1.181493e+001
3.799999999999997e-003	1.180993e+001
3.899999999999997e-003	1.180493e+001
3.999999999999998e-003	1.179993e+001
4.099999999999998e-003	1.179492e+001
4.199999999999998e-003	1.178992e+001
4.299999999999998e-003	1.178492e+001
4.399999999999999e-003	1.177992e+001
4.499999999999999e-003	1.177492e+001
4.599999999999999e-003	1.176992e+001
4.699999999999999e-003	1.176492e+001
4.800000000000000e-003	1.175992e+001
4.900000000000000e-003	1.175491e+001
5.000000000000000e-003	1.174991e+001
5.100000000000000e-003	1.174491e+001
5.200000000000001e-003	1.173991e+001
5.300000000000001e-003	1.173491e+001
5.400000000000001e-003	1.172991e+001
5.500000000000001e-003	1.172491e+001
5.600000000000002e-003	1.171991e+001
5.700000000000002e-003	1.171490e+001
5.800000000000002e-003	1.170990e+001
5.900000000000003e-003	1.170490e+001
6.000000000000003e-003	1.169990e+001
6.100000000000003e-003	1.169490e+001
6.200000000000003e-003	1.168990e+001
6.300000000000004e-003	1.168490e+001
6.400000000000004e-003	1.167990e+001
6.500000000000004e-003	1.167489e+001
6.600000000000004e-003	1.166989e+001
6.700000000000005e-003	1.166489e+001
6.800000000000005e-003	1.165989e+001
6.900000000000005e-003	1.165489e+001
7.000000000000005e-003	1.164989e+001
7.100000000000006e-003	1.164489e+001
7.200000000000006e-003	1.163989e+001
7.300000000000006e-003	1.163488e+001
7.400000000000006e-003	1.162988e+001
7.500000000000007e-003	1.162488e+001
7.600000000000007e-003	1.161988e+001
7.700000000000007e-003	1.161488e+001
7.800000000000007e-003	1.160988e+001
7.900000000000008e-003	1.160488e+001
8.000000000000007e-003	1.159988e+001
8.100000000000007e-003	1.159488e+001
8.200000000000006e-003	1.158987e+001
8.300000000000005e-003	1.158487e+001
8.400000000000005e-003	1.157987e+001
8.500000000000004e-003	1.157487e+001
8.600000000000004e-003	1.156987e+001
8.700000000000003e-003	1.156487e+001
8.800000000000002e-003	1.155987e+001
8.900000000000002e-003	1.155487e+001
9.000000000000001e-003	1.154986e+001
9.100000000000000e-003	1.154486e+001
9.200000000000000e-003	1.153986e+001
9.299999999999999e-003	1.153486e+001
9.399999999999999e-003	1.152986e+001
9.499999999999998e-003	1.152486e+001
9.599999999999997e-003	1.151986e+001
9.699999999999997e-003	1.151486e+001
9.799999999999996e-003	1.150986e+001
9.899999999999996e-003	1.150485e+001
9.999999999999995e-003	1.149985e+001
1.009999999999999e-002	1.149485e+001
1.019999999999999e-002	1.148985e+001
1.029999999999999e-002	1.148485e+001
1.039999999999999e-002	1.147985e+001
1.049999999999999e-002	1.147485e+001
1.059999999999999e-002	1.146985e+001
1.069999999999999e-002	1.146484e+001
1.079999999999999e-002	1.145984e+001
1.089999999999999e-002	1.145484e+001
1.099999999999999e-002	1.144984e+001
1.109999999999999e-002	1.144484e+001
1.119999999999999e-002	1.143984e+001
1.129999999999999e-002	1.143484e+001
1.139999999999999e-002	1.142984e+001
1.149999999999999e-002	1.142484e+001
1.159999999999999e-002	1.141983e+001
1.169999999999999e-002	1.141483e+001
1.179999999999998e-002	1.140983e+001
1.189999999999998e-002	1.140483e+001
1.199999999999998e-002	1.139983e+001
1.209999999999998e-002	1.139483e+001
1.219999999999998e-002	1.138983e+001
1.229999999999998e-002	1.138483e+001
1.239999999999998e-002	1.137982e+001
1.249999999999998e-002	1.137482e+001
1.259999999999998e-002	1.136982e+001
1.269999999999998e-002	1.136482e+001
1.279999999999998e-002	1.135982e+001
1.289999999999998e-002	1.135482e+001
1.299999999999998e-002	1.134982e+001
1.309999999999998e-002	1.134482e+001
1.319999999999998e-002	1.133982e+001
1.329999999999998e-002	1.133481e+001
1.339999999999997e-002	1.132981e+001
1.349999999999997e-002	1.132481e+001
1.359999999999997e-002	1.131981e+001
1.369999999999997e-002	1.131481e+001
1.379999999999997e-002	1.130981e+001
1.389999999999997e-002	1.130481e+001
1.399999999999997e-002	1.129981e+001
1.409999999999997e-002	1.129480e+001
1.419999999999997e-002	1.128980e+001
1.429999999999997e-002	1.128480e+001
1.439999999999997e-002	1.127980e+001
1.449999999999997e-002	1.127480e+001
1.459999999999997e-002	1.126980e+001
