v5	V(x)
-7.000000000000000e-001	-4.317160e-001
-6.900000000000000e-001	-4.316903e-001
-6.799999999999999e-001	-4.316460e-001
-6.699999999999999e-001	-4.315930e-001
-6.599999999999999e-001	-4.315238e-001
-6.499999999999999e-001	-4.314333e-001
-6.399999999999999e-001	-4.313156e-001
-6.299999999999999e-001	-4.311627e-001
-6.199999999999999e-001	-4.309648e-001
-6.099999999999999e-001	-4.307096e-001
-5.999999999999999e-001	-4.303822e-001
-5.899999999999999e-001	-4.299643e-001
-5.799999999999999e-001	-4.294340e-001
-5.699999999999998e-001	-4.287657e-001
-5.599999999999998e-001	-4.279302e-001
-5.499999999999998e-001	-4.268945e-001
-5.399999999999998e-001	-4.256228e-001
-5.299999999999998e-001	-4.240777e-001
-5.199999999999998e-001	-4.222214e-001
-5.099999999999998e-001	-4.200173e-001
-4.999999999999998e-001	-4.174323e-001
-4.899999999999998e-001	-4.144382e-001
-4.799999999999998e-001	-4.110132e-001
-4.699999999999998e-001	-4.071427e-001
-4.599999999999997e-001	-4.028198e-001
-4.499999999999997e-001	-3.980445e-001
-4.399999999999997e-001	-3.928237e-001
-4.299999999999997e-001	-3.871695e-001
-4.199999999999997e-001	-3.810985e-001
-4.099999999999997e-001	-3.746309e-001
-3.999999999999997e-001	-3.677895e-001
-3.899999999999997e-001	-3.605990e-001
-3.799999999999997e-001	-3.530851e-001
-3.699999999999997e-001	-3.452746e-001
-3.599999999999997e-001	-3.371942e-001
-3.499999999999996e-001	-3.288706e-001
-3.399999999999996e-001	-3.203295e-001
-3.299999999999996e-001	-3.115958e-001
-3.199999999999996e-001	-3.026927e-001
-3.099999999999996e-001	-2.936418e-001
-2.999999999999996e-001	-2.844628e-001
-2.899999999999996e-001	-2.751734e-001
-2.799999999999996e-001	-2.657892e-001
-2.699999999999996e-001	-2.563244e-001
-2.599999999999996e-001	-2.467909e-001
-2.499999999999996e-001	-2.371995e-001
-2.399999999999996e-001	-2.275595e-001
-2.299999999999995e-001	-2.178789e-001
-2.199999999999995e-001	-2.081645e-001
-2.099999999999995e-001	-1.984223e-001
-1.999999999999995e-001	-1.886574e-001
-1.899999999999995e-001	-1.788739e-001
-1.799999999999995e-001	-1.690753e-001
-1.699999999999995e-001	-1.592646e-001
-1.599999999999995e-001	-1.494441e-001
-1.499999999999995e-001	-1.396157e-001
-1.399999999999995e-001	-1.297808e-001
-1.299999999999995e-001	-1.199409e-001
-1.199999999999995e-001	-1.100967e-001
-1.099999999999995e-001	-1.002491e-001
-9.999999999999946e-002	-9.039883e-002
-8.999999999999947e-002	-8.054624e-002
-7.999999999999947e-002	-7.069180e-002
-6.999999999999948e-002	-6.083586e-002
-5.999999999999948e-002	-5.097868e-002
-4.999999999999948e-002	-4.112051e-002
-3.999999999999947e-002	-3.126154e-002
-2.999999999999947e-002	-2.140195e-002
-1.999999999999947e-002	-1.154189e-002
-9.999999999999469e-003	-1.681500e-003
5.308253836489030e-016	8.179097e-003
1.000000000000053e-002	1.803977e-002
2.000000000000053e-002	2.790041e-002
3.000000000000053e-002	3.776087e-002
4.000000000000054e-002	4.762104e-002
5.000000000000054e-002	5.748076e-002
6.000000000000054e-002	6.733988e-002
7.000000000000053e-002	7.719821e-002
8.000000000000053e-002	8.705554e-002
9.000000000000052e-002	9.691161e-002
1.000000000000005e-001	1.067661e-001
1.100000000000005e-001	1.166186e-001
1.200000000000005e-001	1.264687e-001
1.300000000000005e-001	1.363157e-001
1.400000000000005e-001	1.461589e-001
1.500000000000005e-001	1.559973e-001
1.600000000000005e-001	1.658294e-001
1.700000000000005e-001	1.756536e-001
1.800000000000006e-001	1.854675e-001
1.900000000000006e-001	1.952679e-001
2.000000000000006e-001	2.050506e-001
2.100000000000006e-001	2.148101e-001
2.200000000000006e-001	2.245389e-001
2.300000000000006e-001	2.342274e-001
2.400000000000006e-001	2.438639e-001
2.500000000000006e-001	2.534339e-001
2.600000000000006e-001	2.629217e-001
2.700000000000006e-001	2.723102e-001
2.800000000000006e-001	2.815832e-001
2.900000000000007e-001	2.907257e-001
3.000000000000007e-001	2.997251e-001
3.100000000000007e-001	3.085712e-001
3.200000000000007e-001	3.172560e-001
3.300000000000007e-001	3.257729e-001
3.400000000000007e-001	3.341160e-001
3.500000000000007e-001	3.422798e-001
3.600000000000007e-001	3.502586e-001
3.700000000000007e-001	3.580459e-001
3.800000000000007e-001	3.656339e-001
3.900000000000007e-001	3.730138e-001
4.000000000000007e-001	3.801751e-001
4.100000000000008e-001	3.871057e-001
4.200000000000008e-001	3.937916e-001
4.300000000000008e-001	4.002173e-001
4.400000000000008e-001	4.063652e-001
4.500000000000008e-001	4.122167e-001
4.600000000000008e-001	4.177520e-001
4.700000000000008e-001	4.229510e-001
4.800000000000008e-001	4.277940e-001
4.900000000000008e-001	4.322632e-001
5.000000000000008e-001	4.363438e-001
5.100000000000008e-001	4.400255e-001
5.200000000000008e-001	4.433043e-001
5.300000000000008e-001	4.461835e-001
5.400000000000008e-001	4.486743e-001
5.500000000000008e-001	4.507964e-001
5.600000000000008e-001	4.525764e-001
5.700000000000008e-001	4.540468e-001
5.800000000000009e-001	4.552440e-001
5.900000000000009e-001	4.562052e-001
6.000000000000009e-001	4.569675e-001
